"year","system_capex_per_kw","system_om_per_kw","system_variable_om_per_kw","sector_abbr"
2014,3054.318209,22.0,0,res
2015,3054.318209,22.0,0,res
2016,3054.318209,22.0,0,res
2017,3054.318209,22.0,0,res
2018,3054.318209,22.0,0,res
2019,2796.2450710000003,21.0,0,res
2020,2644.278663,19.83208997,0,res
2021,2492.3122550000003,18.69234191,0,res
2022,2340.345847,17.55259385,0,res
2023,2188.3794390000003,16.41284579,0,res
2024,2036.4130309999998,15.27309773,0,res
2025,1884.446623,14.13334967,0,res
2026,1732.4802140000002,12.99360161,0,res
2027,1580.5138060000002,11.85385355,0,res
2028,1428.5473980000002,10.71410549,0,res
2029,1276.58099,9.574357426,0,res
2030,1124.614582,8.434609365,0,res
2031,1111.266707,8.334500302999999,0,res
2032,1097.918832,8.234391241,0,res
2033,1084.5709570000001,8.134282179,0,res
2034,1071.223082,8.034173117,0,res
2035,1057.875207,7.934064055,0,res
2036,1044.5273320000001,7.833954993,0,res
2037,1031.179457,7.733845931,0,res
2038,1017.831583,7.633736869,0,res
2039,1004.483708,7.533627807,0,res
2040,991.1358326999999,7.433518745,0,res
2041,977.7879578,7.333409682999999,0,res
2042,964.4400828,7.233300621000001,0,res
2043,951.0922079,7.133191559,0,res
2044,937.744333,7.0330824970000005,0,res
2045,924.396458,6.932973435,0,res
2046,911.0485831,6.832864373,0,res
2047,897.7007082,6.732755311,0,res
2048,884.3528332000001,6.6326462489999995,0,res
2049,871.0049582999999,6.532537187000001,0,res
2050,857.6570833999999,6.432428125,0,res
2014,2052.102886,18.0,0,ind
2015,2052.102886,18.0,0,ind
2016,2052.102886,18.0,0,ind
2017,2052.102886,18.0,0,ind
2018,2052.102886,18.0,0,ind
2019,1812.5237809999999,13.0,0,ind
2020,1742.0551670000002,12.49054512,0,ind
2021,1671.586554,11.98528477,0,ind
2022,1601.11794,11.48002443,0,ind
2023,1530.6493269999999,10.97476408,0,ind
2024,1460.180714,10.46950374,0,ind
2025,1389.7121,9.964243393,0,ind
2026,1319.243487,9.458983047,0,ind
2027,1248.774873,8.953722702,0,ind
2028,1178.30626,8.448462357,0,ind
2029,1107.8376460000002,7.943202011,0,ind
2030,1037.369033,7.437941666,0,ind
2031,1025.292718,7.351354421,0,ind
2032,1013.2164029999999,7.264767176,0,ind
2033,1001.1400880000001,7.17817993,0,ind
2034,989.0637729,7.091592685,0,ind
2035,976.9874579,7.00500544,0,ind
2036,964.9111429,6.918418195,0,ind
2037,952.8348278999999,6.83183095,0,ind
2038,940.7585127999998,6.745243705,0,ind
2039,928.6821978,6.65865646,0,ind
2040,916.6058828,6.572069215,0,ind
2041,904.5295677999999,6.48548197,0,ind
2042,892.4532527999999,6.398894725,0,ind
2043,880.3769377,6.31230748,0,ind
2044,868.3006227,6.225720235,0,ind
2045,856.2243076999999,6.13913299,0,ind
2046,844.1479927000001,6.052545745,0,ind
2047,832.0716777000001,5.9659585,0,ind
2048,819.9953626,5.879371255,0,ind
2049,807.9190476,5.79278401,0,ind
2050,795.8427326000001,5.706196765,0,ind
2014,2052.102886,18.0,0,com
2015,2052.102886,18.0,0,com
2016,2052.102886,18.0,0,com
2017,2052.102886,18.0,0,com
2018,2052.102886,18.0,0,com
2019,1812.5237809999999,13.0,0,com
2020,1742.0551670000002,12.49054512,0,com
2021,1671.586554,11.98528477,0,com
2022,1601.11794,11.48002443,0,com
2023,1530.6493269999999,10.97476408,0,com
2024,1460.180714,10.46950374,0,com
2025,1389.7121,9.964243393,0,com
2026,1319.243487,9.458983047,0,com
2027,1248.774873,8.953722702,0,com
2028,1178.30626,8.448462357,0,com
2029,1107.8376460000002,7.943202011,0,com
2030,1037.369033,7.437941666,0,com
2031,1025.292718,7.351354421,0,com
2032,1013.2164029999999,7.264767176,0,com
2033,1001.1400880000001,7.17817993,0,com
2034,989.0637729,7.091592685,0,com
2035,976.9874579,7.00500544,0,com
2036,964.9111429,6.918418195,0,com
2037,952.8348278999999,6.83183095,0,com
2038,940.7585127999998,6.745243705,0,com
2039,928.6821978,6.65865646,0,com
2040,916.6058828,6.572069215,0,com
2041,904.5295677999999,6.48548197,0,com
2042,892.4532527999999,6.398894725,0,com
2043,880.3769377,6.31230748,0,com
2044,868.3006227,6.225720235,0,com
2045,856.2243076999999,6.13913299,0,com
2046,844.1479927000001,6.052545745,0,com
2047,832.0716777000001,5.9659585,0,com
2048,819.9953626,5.879371255,0,com
2049,807.9190476,5.79278401,0,com
2050,795.8427326000001,5.706196765,0,com
